F,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Receiving,Receiving.1,Receiving.2,Receiving.3,Rushing,Rushing.1,Rushing.2,Rushing.3,Scrimmage,Scrimmage.1,Scrimmage.2,Scrimmage.3
1844,4,*2015,Oklahoma,Big 12,SR,WR,13,86,1288,15.0,11,1,5,5.0,0,87,1293,14.9,11
1845,5,Career,Oklahoma,,,,,233,3482,14.9,26,17,109,6.4,1,250,3591,14.4,27
1846,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1847,1,2013,West Virginia,Big 12,FR,RB,12,11,132,12.0,0,39,221,5.7,1,50,353,7.1,1
1848,2,*2014,West Virginia,Big 12,SO,RB,13,31,326,10.5,0,148,722,4.9,2,179,1048,5.9,2
1849,3,*2015,West Virginia,Big 12,JR,RB,13,26,160,6.2,0,238,1519,6.4,9,264,1679,6.4,9
1850,4,Career,West Virginia,,,,,68,618,9.1,0,425,2462,5.8,12,493,3080,6.2,12
1851,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1852,1,2012,Indiana,Big Ten,FR,QB,7,,,,,15,7,0.5,0,15,7,0.5,0
1853,2,2013,Indiana,Big Ten,SO,QB,12,0,0,,0,38,-34,-0.9,1,38,-34,-0.9,1
1854,3,2014,Indiana,Big Ten,JR,QB,7,0,0,,0,36,98,2.7,2,36,98,2.7,2
1855,4,*2015,Indiana,Big Ten,SR,QB,12,0,0,,0,46,61,1.3,5,46,61,1.3,5
1856,5,Career,Indiana,,,,,0,0,,0,135,132,1.0,8,135,132,1.0,8
1857,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1858,1,2013,Florida,SEC,FR,RB,9,5,37,7.4,0,111,508,4.6,4,116,545,4.7,4
1859,2,*2014,Florida,SEC,SO,RB,12,2,-8,-4.0,0,116,565,4.9,6,118,557,4.7,6
1860,3,*2015,Florida,SEC,JR,RB,14,17,150,8.8,0,259,1035,4.0,13,276,1185,4.3,13
1861,4,Career,Florida,,,,,24,179,7.5,0,486,2108,4.3,23,510,2287,4.5,23
1862,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1863,1,2012,Ohio State,Big Ten,FR,WR,11,3,22,7.3,0,,,,,3,22,7.3,0
1864,2,*2014,Ohio State,Big Ten,SO,WR,15,54,799,14.8,9,0,0,,0,54,799,14.8,9
1865,3,*2015,Ohio State,Big Ten,JR,WR,13,56,781,13.9,9,0,0,,0,56,781,13.9,9
1866,4,Career,Ohio State,,,,,113,1602,14.2,18,0,0,,0,113,1602,14.2,18
1867,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1868,1,*2013,Ole Miss,SEC,FR,WR,13,72,608,8.4,5,3,2,0.7,0,75,610,8.1,5
1869,2,*2014,Ole Miss,SEC,SO,WR,9,48,632,13.2,5,2,-7,-3.5,0,50,625,12.5,5
1870,3,*2015,Ole Miss,SEC,JR,WR,13,82,1153,14.1,11,1,-5,-5.0,0,83,1148,13.8,11
1871,4,Career,Ole Miss,,,,,202,2393,11.8,21,6,-10,-1.7,0,208,2383,11.5,21
1872,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1873,1,2012,Ohio State,Big Ten,SO,TE,12,9,123,13.7,0,1,-1,-1.0,0,10,122,12.2,0
1874,2,*2013,Ohio State,Big Ten,SO,TE,5,8,80,10.0,1,0,0,,0,8,80,10.0,1
1875,3,*2014,Ohio State,Big Ten,JR,TE,10,19,220,11.6,5,0,0,,0,19,220,11.6,5
1876,4,*2015,Ohio State,Big Ten,SR,TE,10,19,162,8.5,0,0,0,,0,19,162,8.5,0
1877,5,Career,Ohio State,,,,,55,585,10.6,6,1,-1,-1.0,0,56,584,10.4,6
1878,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1879,1,*2012,Northwestern,Big Ten,FR,TE,13,28,288,10.3,2,1,2,2.0,0,29,290,10.0,2
1880,2,2013,Northwestern,Big Ten,SO,SB,12,34,382,11.2,3,4,27,6.8,0,38,409,10.8,3
1881,3,2014,Northwestern,Big Ten,JR,SB,11,40,402,10.1,2,1,0,0.0,0,41,402,9.8,2
1882,4,*2015,Northwestern,Big Ten,SR,SB,12,33,355,10.8,4,0,0,,0,33,355,10.8,4
1883,5,Career,Northwestern,,,,,135,1427,10.6,11,6,29,4.8,0,141,1456,10.3,11
1884,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1885,1,2011,Texas Tech,Big 12,FR,RB,12,19,109,5.7,0,77,366,4.8,3,96,475,4.9,3
1886,2,*2013,Texas Tech,Big 12,SO,RB,12,34,269,7.9,0,107,450,4.2,4,141,719,5.1,4
1887,3,2014,Texas Tech,Big 12,JR,RB,12,30,328,10.9,2,188,1103,5.9,2,218,1431,6.6,4
1888,4,*2015,Texas Tech,Big 12,SR,RB,13,41,385,9.4,2,233,1492,6.4,14,274,1877,6.9,16
1889,5,Career,Texas Tech,,,,,124,1091,8.8,4,605,3411,5.6,23,729,4502,6.2,27
1890,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1891,1,2012,Arkansas,SEC,FR,RB,11,8,208,26.0,2,45,231,5.1,0,53,439,8.3,2
1892,2,2013,Arkansas,SEC,SO,RB,12,7,72,10.3,2,150,900,6.0,4,157,972,6.2,6
1893,3,*2014,Arkansas,SEC,JR,RB,13,11,65,5.9,2,211,1190,5.6,12,222,1255,5.7,14
1894,4,*2015,Arkansas,SEC,SR,RB,,,,,,,,,,0,0,,0
1895,5,Career,Arkansas,,,,,26,345,13.3,6,406,2321,5.7,16,432,2666,6.2,22
1896,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1897,1,*2011,Oklahoma,Big 12,FR,RB,8,,,,,46,219,4.8,0,46,219,4.8,0
1898,2,*2013,Texas A&M,SEC,SO,RB,9,5,17,3.4,1,44,269,6.1,1,49,286,5.8,2
1899,3,*2014,Texas A&M,SEC,JR,RB,13,9,65,7.2,0,87,379,4.4,3,96,444,4.6,3
1900,4,*2015,Texas A&M,SEC,SR,RB,13,1,3,3.0,0,1,3,3.0,0,2,6,3.0,0
1901,5,Career,Overall,,,,,15,85,5.7,1,178,870,4.9,4,193,955,4.9,5
1902,6,,Oklahoma,,,,,,,,,46,219,4.8,0,46,219,4.8,0
1903,7,,Texas A&M,,,,,15,85,5.7,1,132,651,4.9,4,147,736,5.0,5
1904,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1905,1,*2011,Nebraska,Big Ten,FR,RB,13,1,11,11.0,0,42,150,3.6,3,43,161,3.7,3
1906,2,*2012,Nebraska,Big Ten,SO,RB,14,24,178,7.4,2,226,1137,5.0,8,250,1315,5.3,10
1907,3,*2013,Nebraska,Big Ten,JR,RB,13,26,232,8.9,2,281,1690,6.0,9,307,1922,6.3,11
1908,4,2014,Nebraska,Big Ten,SR,RB,13,22,269,12.2,3,264,1611,6.1,19,286,1880,6.6,22
1909,5,Career,Nebraska,,,,,73,690,9.5,7,813,4588,5.6,39,886,5278,6.0,46
1910,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1911,1,*2012,USC,Pac-12,FR,WR,13,18,341,18.9,2,1,7,7.0,0,19,348,18.3,2
1912,2,*2013,USC,Pac-12,SO,WR,14,56,918,16.4,6,2,8,4.0,0,58,926,16.0,6
1913,3,*2014,USC,Pac-12,JR,WR,13,104,1313,12.6,12,4,3,0.8,0,108,1316,12.2,12
1914,4,Career,USC,,,,,178,2572,14.4,20,7,18,2.6,0,185,2590,14.0,20
1915,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1916,1,*2012,Boise State,MWC,FR,RB,11,1,14,14.0,0,82,548,6.7,4,83,562,6.8,4
1917,2,*2013,Boise State,MWC,SO,RB,13,22,222,10.1,1,249,1425,5.7,18,271,1647,6.1,19
1918,3,*2014,Boise State,MWC,JR,RB,14,50,535,10.7,4,347,1823,5.3,28,397,2358,5.9,32
1919,4,Career,Boise State,,,,,73,771,10.6,5,678,3796,5.6,50,751,4567,6.1,55
1920,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1921,1,2013,West Virginia,Big 12,JR,WR,9,27,552,20.4,2,5,47,9.4,0,32,599,18.7,2
1922,2,*2014,West Virginia,Big 12,SR,WR,13,65,945,14.5,11,2,14,7.0,0,67,959,14.3,11
1923,3,Career,West Virginia,,,,,92,1497,16.3,13,7,61,8.7,0,99,1558,15.7,13
1924,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1925,1,*2012,USC,Pac-12,FR,RB,3,,,,,6,32,5.3,0,6,32,5.3,0
1926,2,*2013,USC,Pac-12,SO,RB,13,22,252,11.5,1,135,785,5.8,14,157,1037,6.6,15
1927,3,*2014,USC,Pac-12,JR,RB,13,41,458,11.2,1,276,1489,5.4,11,317,1947,6.1,12
1928,4,Career,USC,,,,,63,710,11.3,2,417,2306,5.5,25,480,3016,6.3,27
1929,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1930,1,*2011,South Carolina,SEC,FR,TE,13,8,188,23.5,3,,,,,8,188,23.5,3
1931,2,*2012,South Carolina,SEC,SO,TE,13,14,271,19.4,5,,,,,14,271,19.4,5
1932,3,*2013,South Carolina,SEC,JR,TE,9,17,235,13.8,0,0,0,,0,17,235,13.8,0
1933,4,*2014,South Carolina,SEC,SR,TE,8,22,260,11.8,1,0,0,,0,22,260,11.8,1
1934,5,Career,South Carolina,,,,,61,954,15.6,9,0,0,,0,61,954,15.6,9
1935,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1936,1,*2013,Auburn,SEC,JR,RB,13,1,4,4.0,0,91,610,6.7,6,92,614,6.7,6
1937,2,*2014,Auburn,SEC,SR,RB,13,13,147,11.3,0,303,1608,5.3,13,316,1755,5.6,13
1938,3,Career,Auburn,,,,,14,151,10.8,0,394,2218,5.6,19,408,2369,5.8,19
1939,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1940,1,*2011,Nebraska,Big Ten,FR,WR,13,32,461,14.4,3,3,100,33.3,1,35,561,16.0,4
1941,2,*2012,Nebraska,Big Ten,SO,WR,14,50,863,17.3,8,2,8,4.0,0,52,871,16.8,8
1942,3,*2013,Nebraska,Big Ten,JR,WR,13,52,577,11.1,4,1,1,1.0,0,53,578,10.9,4
1943,4,2014,Nebraska,Big Ten,SR,WR,13,47,788,16.8,6,0,0,,0,47,788,16.8,6
1944,5,Career,Nebraska,,,,,181,2689,14.9,21,6,109,18.2,1,187,2798,15.0,22
1945,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1946,1,*2011,Oklahoma,Big 12,FR,QB,7,,,,,44,171,3.9,13,44,171,3.9,13
1947,2,*2012,Oklahoma,Big 12,SO,QB,13,,,,,60,201,3.4,11,60,201,3.4,11
1948,3,*2013,Oklahoma,Big 12,JR,QB,11,0,0,,0,75,255,3.4,0,75,255,3.4,0
1949,4,*2014,Oklahoma,Big 12,SR,TE,9,16,214,13.4,4,2,4,2.0,0,18,218,12.1,4
1950,5,Career,Oklahoma,,,,,16,214,13.4,4,181,631,3.5,24,197,845,4.3,28
1951,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1952,1,*2011,Northern Illinois,MAC,FR,WR,14,24,322,13.4,2,1,3,3.0,0,25,325,13.0,2
1953,2,*2012,Northern Illinois,MAC,SO,WR,14,17,156,9.2,2,4,4,1.0,1,21,160,7.6,3
1954,3,*2013,Northern Illinois,MAC,JR,WR,12,46,752,16.3,9,7,45,6.4,0,53,797,15.0,9
1955,4,*2014,Northern Illinois,MAC,SR,WR,14,68,1065,15.7,6,10,108,10.8,1,78,1173,15.0,7
1956,5,Career,Northern Illinois,,,,,155,2295,14.8,19,22,160,7.3,2,177,2455,13.9,21
1957,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1958,1,*2011,Rutgers,Big East,SO,RB,12,10,68,6.8,1,10,44,4.4,0,20,112,5.6,1
1959,2,*2012,Rutgers,Big East,SO,RB,4,3,34,11.3,0,2,9,4.5,0,5,43,8.6,0
1960,3,*2013,Rutgers,American,JR,FB,12,19,149,7.8,2,9,61,6.8,0,28,210,7.5,2
1961,4,*2014,Rutgers,Big Ten,SR,FB,11,15,150,10.0,0,1,2,2.0,0,16,152,9.5,0
1962,5,Career,Rutgers,,,,,47,401,8.5,3,22,116,5.3,0,69,517,7.5,3
1963,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1964,1,*2011,Florida,SEC,SO,TE,7,4,72,18.0,1,,,,,4,72,18.0,1
1965,2,*2013,Louisville,American,JR,TE,12,28,426,15.2,4,0,0,,0,28,426,15.2,4
1966,3,*2014,Louisville,ACC,SR,TE,13,32,384,12.0,5,0,0,,0,32,384,12.0,5
1967,4,Career,Overall,,,,,64,882,13.8,10,0,0,,0,64,882,13.8,10
1968,5,,Florida,,,,,4,72,18.0,1,,,,,4,72,18.0,1
1969,6,,Louisville,,,,,60,810,13.5,9,0,0,,0,60,810,13.5,9
1970,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1971,1,*2014,Utah,Pac-12,SR,WR,13,43,523,12.2,4,4,4,1.0,0,47,527,11.2,4
1972,2,Career,Utah,,,,,43,523,12.2,4,4,4,1.0,0,47,527,11.2,4
1973,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1974,1,2012,Auburn,SEC,FR,WR,12,6,114,19.0,2,,,,,6,114,19.0,2
1975,2,*2013,Auburn,SEC,SO,WR,13,42,902,21.5,7,0,0,,0,42,902,21.5,7
1976,3,*2014,Auburn,SEC,JR,WR,12,34,741,21.8,4,0,0,,0,34,741,21.8,4
1977,4,Career,Auburn,,,,,82,1757,21.4,13,0,0,,0,82,1757,21.4,13
1978,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1979,1,2011,Minnesota,Big Ten,,RB,4,,,,,10,57,5.7,0,10,57,5.7,0
1980,2,*2012,Minnesota,Big Ten,SO,RB,5,1,3,3.0,0,1,8,8.0,0,2,11,5.5,0
1981,3,2013,Minnesota,Big Ten,JR,RB,13,17,174,10.2,0,237,1202,5.1,7,254,1376,5.4,7
1982,4,*2014,Minnesota,Big Ten,SR,RB,13,16,162,10.1,0,315,1629,5.2,13,331,1791,5.4,13
1983,5,Career,Minnesota,,,,,34,339,10.0,0,563,2896,5.1,20,597,3235,5.4,20
1984,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1985,1,2012,Indiana,Big Ten,FR,RB,12,10,49,4.9,0,51,225,4.4,1,61,274,4.5,1
1986,2,2013,Indiana,Big Ten,SO,RB,9,19,193,10.2,0,131,958,7.3,12,150,1151,7.7,12
1987,3,2014,Indiana,Big Ten,JR,RB,12,25,141,5.6,0,270,2036,7.5,15,295,2177,7.4,15
1988,4,Career,Indiana,,,,,54,383,7.1,0,452,3219,7.1,28,506,3602,7.1,28
1989,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1990,1,*2011,Georgia,SEC,FR,WR,11,16,288,18.0,2,,,,,16,288,18.0,2
1991,2,*2012,Georgia,SEC,SO,WR,14,20,342,17.1,6,,,,,20,342,17.1,6
1992,3,*2013,Georgia,SEC,JR,WR,11,45,651,14.5,4,0,0,,0,45,651,14.5,4
1993,4,*2014,Georgia,SEC,SR,WR,13,36,657,18.3,8,0,0,,0,36,657,18.3,8
1994,5,Career,Georgia,,,,,117,1938,16.6,20,0,0,,0,117,1938,16.6,20
1995,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1996,1,*2012,Alabama,SEC,FR,WR,14,59,1000,16.9,11,,,,,59,1000,16.9,11
1997,2,*2013,Alabama,SEC,,WR,11,45,736,16.4,4,1,28,28.0,0,46,764,16.6,4
1998,3,*2014,Alabama,SEC,JR,WR,14,124,1727,13.9,16,5,23,4.6,0,129,1750,13.6,16
1999,4,Career,Alabama,,,,,228,3463,15.2,31,6,51,8.5,0,234,3514,15.0,31
2000,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
2001,1,2011,Duke,ACC,FR,WR,12,14,163,11.6,1,8,42,5.3,0,22,205,9.3,1
2002,2,*2012,Duke,ACC,SO,WR,13,76,1074,14.1,8,3,13,4.3,0,79,1087,13.8,8
2003,3,*2013,Duke,ACC,JR,WR,14,108,1360,12.6,8,8,71,8.9,1,116,1431,12.3,9
2004,4,*2014,Duke,ACC,SR,WR,13,85,1044,12.3,6,2,9,4.5,0,87,1053,12.1,6
2005,5,Career,Duke,,,,,283,3641,12.9,23,21,135,6.4,1,304,3776,12.4,24
2006,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
2007,1,*2012,South Carolina,SEC,FR,RB,,4,35,8.8,0,52,275,5.3,2,56,310,5.5,2
2008,2,*2013,South Carolina,SEC,SO,RB,12,34,352,10.4,0,203,1183,5.8,11,237,1535,6.5,11
2009,3,*2014,South Carolina,SEC,JR,RB,13,32,368,11.5,2,199,982,4.9,9,231,1350,5.8,11
2010,4,Career,South Carolina,,,,,70,755,10.8,2,454,2440,5.4,22,524,3195,6.1,24
2011,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
2012,1,2011,Connecticut,Big East,FR,WR,12,6,73,12.2,0,,,,,6,73,12.2,0
2013,2,2012,Connecticut,Big East,SO,WR,12,44,613,13.9,1,,,,,44,613,13.9,1
2014,3,2013,Connecticut,American,JR,WR,12,71,1085,15.3,3,0,0,,0,71,1085,15.3,3
2015,4,2014,Connecticut,American,SR,WR,10,44,521,11.8,3,0,0,,0,44,521,11.8,3
2016,5,Career,Connecticut,,,,,165,2292,13.9,7,0,0,,0,165,2292,13.9,7
2017,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
2018,1,2012,Maryland,ACC,FR,WR,11,54,848,15.7,6,20,114,5.7,0,74,962,13.0,6
2019,2,*2013,Maryland,ACC,SO,WR,7,34,587,17.3,3,7,45,6.4,0,41,632,15.4,3
2020,3,*2014,Maryland,Big Ten,JR,WR,10,62,792,12.8,5,5,28,5.6,0,67,820,12.2,5
2021,4,Career,Maryland,,,,,150,2227,14.8,14,32,187,5.8,0,182,2414,13.3,14
2022,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
2023,1,2011,Miami (FL),ACC,FR,WR,12,14,147,10.5,1,,,,,14,147,10.5,1
2024,2,2012,Miami (FL),ACC,SO,WR,12,58,842,14.5,4,5,8,1.6,0,63,850,13.5,4
2025,3,*2013,Miami (FL),ACC,JR,WR,7,13,272,20.9,2,0,0,,0,13,272,20.9,2
2026,4,*2014,Miami (FL),ACC,SR,WR,12,36,871,24.2,10,2,-6,-3.0,0,38,865,22.8,10
2027,5,Career,Miami (FL),,,,,121,2132,17.6,17,7,2,0.3,0,128,2134,16.7,17
2028,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
2029,1,*2010,Alabama,SEC,FR,RB,11,,,,,14,111,7.9,1,14,111,7.9,1
2030,2,*2011,Alabama,SEC,SO,RB,13,,,,,56,385,6.9,4,56,385,6.9,4
2031,3,*2012,Alabama,SEC,JR,RB,2,1,6,6.0,0,11,85,7.7,0,12,91,7.6,0
2032,4,*2013,Alabama,SEC,,RB,9,7,15,2.1,5,20,88,4.4,0,27,103,3.8,5
2033,5,*2014,Alabama,SEC,SR,RB,12,11,129,11.7,2,12,69,5.8,0,23,198,8.6,2
2034,6,Career,Alabama,,,,,19,150,7.9,7,113,738,6.5,5,132,888,6.7,12
2035,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
2036,1,*2012,Michigan,Big Ten,FR,TE,13,15,234,15.6,5,,,,,15,234,15.6,5
2037,2,*2013,Michigan,Big Ten,SO,TE,13,49,748,15.3,6,6,34,5.7,0,55,782,14.2,6
2038,3,2014,Michigan,Big Ten,JR,WR,11,62,733,11.8,4,2,-11,-5.5,0,64,722,11.3,4
2039,4,Career,Michigan,,,,,126,1715,13.6,15,8,23,2.9,0,134,1738,13.0,15
2040,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
2041,1,*2011,Wisconsin,Big Ten,FR,RB,4,,,,,20,98,4.9,1,20,98,4.9,1
2042,2,*2012,Wisconsin,Big Ten,FR,RB,14,2,65,32.5,1,62,621,10.0,3,64,686,10.7,4
2043,3,*2013,Wisconsin,Big Ten,SO,RB,13,1,10,10.0,0,206,1609,7.8,12,207,1619,7.8,12
2044,4,*2014,Wisconsin,Big Ten,JR,RB,14,19,153,8.1,3,343,2587,7.5,29,362,2740,7.6,32
2045,5,Career,Wisconsin,,,,,22,228,10.4,4,631,4915,7.8,45,653,5143,7.9,49
2046,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
2047,1,2011,Colorado State,MWC,FR,QB,4,,,,,47,193,4.1,1,47,193,4.1,1
2048,2,2012,Colorado State,MWC,SO,QB,6,,,,,39,17,0.4,1,39,17,0.4,1
2049,3,*2013,Colorado State,MWC,JR,QB,14,2,-8,-4.0,0,69,119,1.7,2,71,111,1.6,2
2050,4,*2014,Colorado State,MWC,SR,QB,13,1,39,39.0,1,57,-46,-0.8,0,58,-7,-0.1,1
2051,5,Career,Colorado State,,,,,3,31,10.3,1,212,283,1.3,4,215,314,1.5,5
2052,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
2053,1,2012,Missouri,SEC,FR,WR,11,28,395,14.1,5,5,16,3.2,0,33,411,12.5,5
2054,2,*2013,Missouri,SEC,SO,WR,14,59,883,15.0,12,1,3,3.0,0,60,886,14.8,12
2055,3,Career,Missouri,,,,,87,1278,14.7,17,6,19,3.2,0,93,1297,13.9,17
2056,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
2057,1,*2011,Florida State,ACC,FR,WR,9,38,596,15.7,7,3,44,14.7,0,41,640,15.6,7
2058,2,*2012,Florida State,ACC,SO,WR,14,57,741,13.0,6,4,30,7.5,1,61,771,12.6,7
2059,3,*2013,Florida State,ACC,JR,WR,14,76,1128,14.8,9,1,9,9.0,0,77,1137,14.8,9
2060,4,*2014,Florida State,ACC,SR,WR,14,99,1365,13.8,7,1,-2,-2.0,0,100,1363,13.6,7
2061,5,Career,Florida State,,,,,270,3830,14.2,29,9,81,9.0,1,279,3911,14.0,30
2062,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
2063,1,*2012,Georgia,SEC,FR,RB,14,16,117,7.3,0,222,1385,6.2,17,238,1502,6.3,17
2064,2,*2013,Georgia,SEC,SO,RB,10,37,441,11.9,6,165,989,6.0,10,202,1430,7.1,16
2065,3,*2014,Georgia,SEC,JR,RB,6,12,57,4.8,0,123,911,7.4,9,135,968,7.2,9
2066,4,Career,Georgia,,,,,65,615,9.5,6,510,3285,6.4,36,575,3900,6.8,42
2067,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
2068,1,2011,East Carolina,CUSA,FR,WR,10,64,658,10.3,6,,,,,64,658,10.3,6
2069,2,*2012,East Carolina,CUSA,SO,WR,13,88,1105,12.6,11,,,,,88,1105,12.6,11
2070,3,*2013,East Carolina,CUSA,JR,WR,13,114,1284,11.3,8,0,0,,0,114,1284,11.3,8
2071,4,*2014,East Carolina,American,SR,WR,13,121,1494,12.3,10,1,7,7.0,1,122,1501,12.3,11
2072,5,Career,East Carolina,,,,,387,4541,11.7,35,1,7,7.0,1,388,4548,11.7,36
2073,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
2074,1,*2011,Ohio State,Big Ten,FR,TE,11,1,25,25.0,0,,,,,1,25,25.0,0
2075,2,2012,Ohio State,Big Ten,SO,TE,12,8,94,11.8,1,,,,,8,94,11.8,1
2076,3,*2013,Ohio State,Big Ten,JR,TE,10,26,466,17.9,4,1,6,6.0,0,27,472,17.5,4
2077,4,*2014,Ohio State,Big Ten,SR,TE,8,17,207,12.2,2,0,0,,0,17,207,12.2,2
2078,5,Career,Ohio State,,,,,52,792,15.2,7,1,6,6.0,0,53,798,15.1,7
2079,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
2080,1,*2011,LSU,SEC,FR,RB,13,3,13,4.3,1,62,336,5.4,8,65,349,5.4,9
2081,2,*2012,LSU,SEC,SO,RB,12,3,21,7.0,0,82,464,5.7,6,85,485,5.7,6
2082,3,*2013,LSU,SEC,JR,RB,12,1,0,0.0,0,68,310,4.6,7,69,310,4.5,7
2083,4,*2014,LSU,SEC,SR,RB,11,4,35,8.8,0,90,447,5.0,6,94,482,5.1,6
2084,5,Career,LSU,,,,,11,69,6.3,1,302,1557,5.2,27,313,1626,5.2,28
2085,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
2086,1,*2012,UCLA,Pac-12,FR,QB,14,,,,,160,355,2.2,9,160,355,2.2,9
2087,2,*2013,UCLA,Pac-12,SO,QB,13,1,7,7.0,1,160,748,4.7,11,161,755,4.7,12
2088,3,*2014,UCLA,Pac-12,JR,QB,13,1,9,9.0,0,159,644,4.1,10,160,653,4.1,10
