,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Passing,Passing.1,Passing.2,Passing.3,Passing.4,Passing.5,Passing.6,Passing.7,Passing.8
0,Zac Robinson,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2006,Oklahoma State,Big 12,FR,QB,7,25,51,49.0,345,6.8,7.9,3,0,125.3
2,*2007,Oklahoma State,Big 12,SO,QB,13,201,333,60.4,2824,8.5,8.6,23,9,149.0
3,*2008,Oklahoma State,Big 12,JR,QB,13,204,314,65.0,3064,9.8,9.9,25,10,166.8
4,*2009,Oklahoma State,Big 12,SR,QB,12,180,301,59.8,2084,6.9,6.1,15,12,126.4
5,Career,Oklahoma State,,,,,610,999,61.1,8317,8.3,8.3,66,31,146.6
0,Tim Tebow,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2006,Florida,SEC,FR,QB,14,22,33,66.7,358,10.8,12.5,5,1,201.7
2,*2007,Florida,SEC,SO,QB,13,234,350,66.9,3286,9.4,10.4,32,6,172.5
3,*2008,Florida,SEC,JR,QB,14,192,298,64.4,2746,9.2,10.6,30,4,172.4
4,*2009,Florida,SEC,SR,QB,14,213,314,67.8,2895,9.2,9.8,21,5,164.2
5,Career,Florida,,,,,661,995,66.4,9285,9.3,10.4,88,16,170.8
0,Tom Brandstater,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2005,Fresno State,WAC,SO,QB,8,6,13,46.2,49,3.8,1.8,1,1,87.8
2,2006,Fresno State,WAC,SO,QB,11,146,268,54.5,1490,5.6,4.2,13,14,106.7
3,*2007,Fresno State,WAC,JR,QB,13,211,337,62.6,2654,7.9,8.1,15,5,140.5
4,*2008,Fresno State,WAC,SR,QB,13,221,371,59.6,2664,7.2,6.7,18,12,129.4
5,Career,Fresno State,,,,,584,989,59.0,6857,6.9,6.4,47,32,126.5
0,Josh Freeman,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2006,Kansas State,Big 12,FR,QB,11,140,270,51.9,1780,6.6,4.5,6,15,103.5
2,2007,Kansas State,Big 12,SO,QB,12,316,499,63.3,3353,6.7,6.4,18,11,127.3
3,2008,Kansas State,Big 12,JR,QB,12,224,382,58.6,2945,7.7,7.8,20,8,136.5
4,Career,Kansas State,,,,,680,1151,59.1,8078,7.0,6.5,44,34,124.7
0,Stephen McGee,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2005,Texas A&M,Big 12,FR,QB,8,24,53,45.3,283,5.3,5.2,2,1,98.8
2,*2006,Texas A&M,Big 12,SO,QB,13,194,313,62.0,2295,7.3,7.8,12,2,134.9
3,*2007,Texas A&M,Big 12,JR,QB,13,211,364,58.0,2311,6.3,6.0,12,8,117.8
4,2008,Texas A&M,Big 12,SR,QB,6,56,85,65.9,586,6.9,6.3,2,2,126.9
5,Career,Texas A&M,,,,,485,815,59.5,5475,6.7,6.7,28,13,124.1
0,Curtis Painter,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2005,Purdue,Big Ten,FR,QB,9,89,170,52.4,932,5.5,4.5,3,5,98.3
2,*2006,Purdue,Big Ten,SO,QB,14,315,530,59.4,3985,7.5,6.7,22,19,129.1
3,*2007,Purdue,Big Ten,JR,QB,13,356,569,62.6,3846,6.8,6.9,29,11,132.3
4,2008,Purdue,Big Ten,SR,QB,10,227,379,59.9,2400,6.3,5.7,13,11,118.6
5,Career,Purdue,,,,,987,1648,59.9,11163,6.8,6.3,67,46,124.6
0,Mark Sanchez,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2006,USC,Pac-10,FR,QB,6,3,7,42.9,63,9.0,2.6,0,1,89.9
2,*2007,USC,Pac-10,SO,QB,8,69,114,60.5,695,6.1,5.4,7,5,123.2
3,*2008,USC,Pac-10,JR,QB,13,241,366,65.8,3207,8.8,9.4,34,10,164.6
4,Career,USC,,,,,313,487,64.3,3965,8.1,8.3,41,16,153.9
0,Matthew Stafford,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2006,Georgia,SEC,FR,QB,13,135,256,52.7,1749,6.8,5.1,7,13,109.0
2,*2007,Georgia,SEC,SO,QB,13,194,348,55.7,2523,7.3,7.0,19,10,128.9
3,*2008,Georgia,SEC,JR,QB,13,235,383,61.4,3459,9.0,9.2,25,10,153.5
4,Career,Georgia,,,,,564,987,57.1,7731,7.8,7.4,51,33,133.3
0,Pat White,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2005,West Virginia,Big East,FR,QB,12,65,114,57.0,828,7.3,6.7,8,5,132.4
2,*2006,West Virginia,Big East,SO,QB,12,118,179,65.9,1655,9.2,8.9,13,7,159.7
3,*2007,West Virginia,Big East,JR,QB,13,144,216,66.7,1724,8.0,8.4,14,4,151.4
4,*2008,West Virginia,Big East,SR,QB,12,180,274,65.7,1842,6.7,7.1,21,7,142.3
5,Career,West Virginia,,,,,507,783,64.8,6049,7.7,7.8,56,23,147.4
0,Erik Ainge,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2004,Tennessee,SEC,FR,QB,9,109,198,55.1,1452,7.3,7.0,17,9,135.9
2,2005,Tennessee,SEC,SO,QB,8,66,145,45.5,737,5.1,3.6,5,7,89.9
3,*2006,Tennessee,SEC,JR,QB,12,233,348,67.0,2989,8.6,8.5,19,9,151.9
4,*2007,Tennessee,SEC,SR,QB,14,325,519,62.6,3522,6.8,7.1,31,10,135.5
5,Career,Tennessee,,,,,733,1210,60.6,8700,7.2,7.1,72,35,134.8
0,Colt Brennan,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2005,Hawaii,WAC,SO,QB,12,350,515,68.0,4301,8.4,8.6,35,13,155.5
2,*2006,Hawaii,WAC,JR,QB,14,406,559,72.6,5549,9.9,11.0,58,12,186.0
3,*2007,Hawaii,WAC,SR,QB,12,359,510,70.4,4343,8.5,8.5,38,17,159.8
4,Career,Hawaii,,,,,1115,1584,70.4,14193,9.0,9.4,131,42,167.6
0,Alex Brink,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2004,Washington State,Pac-10,FR,QB,11,97,194,50.0,1305,6.7,6.3,7,5,113.3
2,2005,Washington State,Pac-10,SO,QB,11,205,358,57.3,2891,8.1,7.8,24,13,140.0
3,2006,Washington State,Pac-10,JR,QB,12,241,396,60.9,2899,7.3,7.1,19,10,133.1
4,2007,Washington State,Pac-10,SR,QB,12,305,503,60.6,3818,7.6,7.3,26,15,135.5
5,Career,Washington State,,,,,848,1451,58.4,10913,7.5,7.2,76,43,133.0
0,Brian Brohm,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2004,Louisville,CUSA,FR,QB,11,66,98,67.3,819,8.4,8.7,6,2,153.7
2,*2005,Louisville,Big East,SO,QB,10,207,301,68.8,2883,9.6,10.1,19,5,166.7
3,*2006,Louisville,Big East,JR,QB,11,199,313,63.6,3049,9.7,10.0,16,5,159.1
4,2007,Louisville,Big East,SR,QB,12,308,473,65.1,4024,8.5,8.6,30,12,152.4
5,Career,Louisville,,,,,780,1185,65.8,10775,9.1,9.4,71,24,157.9
0,Dennis Dixon,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2004,Oregon,Pac-10,FR,QB,6,6,15,40.0,73,4.9,4.9,0,0,80.9
2,*2005,Oregon,Pac-10,SO,QB,12,69,104,66.3,777,7.5,7.3,6,3,142.4
3,*2006,Oregon,Pac-10,JR,QB,12,197,322,61.2,2143,6.7,5.4,12,14,120.7
4,*2007,Oregon,Pac-10,SR,QB,10,172,254,67.7,2136,8.4,9.3,20,4,161.2
5,Career,Oregon,,,,,444,695,63.9,5129,7.4,7.1,38,21,137.9
0,Joe Flacco,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2004,Pitt,Big East,FR,QB,3,1,4,25.0,11,2.8,2.8,0,0,48.1
2,Career,Pitt,,,,,1,4,25.0,11,2.8,2.8,0,0,48.1
0,Matt Flynn,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2004,LSU,SEC,FR,QB,10,4,10,40.0,99,9.9,11.9,1,0,156.2
2,*2005,LSU,SEC,SO,QB,9,27,48,56.3,457,9.5,11.5,7,1,180.2
3,*2006,LSU,SEC,JR,QB,10,12,20,60.0,133,6.7,6.4,2,1,138.9
4,*2007,LSU,SEC,SR,QB,12,202,359,56.3,2407,6.7,6.5,21,11,125.8
5,Career,LSU,,,,,245,437,56.1,3096,7.1,7.2,31,13,133.0
0,Chad Henne,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2004,Michigan,Big Ten,FR,QB,12,240,399,60.2,2743,6.9,6.8,25,12,132.6
2,*2005,Michigan,Big Ten,SO,QB,12,223,382,58.4,2526,6.6,6.9,23,8,129.6
3,*2006,Michigan,Big Ten,JR,QB,13,203,328,61.9,2508,7.6,7.9,22,8,143.4
4,*2007,Michigan,Big Ten,SR,QB,10,162,278,58.3,1938,7.0,6.7,17,9,130.5
5,Career,Michigan,,,,,828,1387,59.7,9715,7.0,7.1,87,37,133.9
0,Kevin O'Connell,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2004,San Diego State,MWC,FR,QB,9,115,236,48.7,1328,5.6,4.7,9,9,101.0
2,2005,San Diego State,MWC,SO,QB,12,233,375,62.1,2663,7.1,6.7,19,12,132.1
3,2006,San Diego State,MWC,JR,QB,6,59,101,58.4,635,6.3,4.7,3,5,111.1
4,2007,San Diego State,MWC,SR,QB,12,257,439,58.5,3063,7.0,6.8,15,8,124.8
5,Career,San Diego State,,,,,664,1151,57.7,7689,6.7,6.2,46,34,121.1
0,Matt Ryan,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2004,Boston College,Big East,FR,QB,7,35,71,49.3,350,4.9,3.6,2,3,91.5
2,*2005,Boston College,ACC,SO,QB,10,121,195,62.1,1514,7.8,7.4,8,5,135.7
3,*2006,Boston College,ACC,JR,QB,12,263,427,61.6,2942,6.9,6.5,15,10,126.4
4,*2007,Boston College,ACC,SR,QB,14,388,654,59.3,4507,6.9,6.5,31,19,127.0
5,Career,Boston College,,,,,807,1347,59.9,9313,6.9,6.5,56,37,126.2
0,Andre Woodson,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2004,Kentucky,SEC,FR,QB,7,54,88,61.4,492,5.6,5.5,2,1,113.6
2,2005,Kentucky,SEC,SO,QB,11,146,253,57.7,1644,6.5,5.9,6,6,115.4
3,*2006,Kentucky,SEC,JR,QB,13,264,419,63.0,3515,8.4,9.1,31,7,154.5
4,*2007,Kentucky,SEC,SR,QB,13,327,518,63.1,3709,7.2,7.7,40,11,144.5
5,Career,Kentucky,,,,,791,1278,61.9,9360,7.3,7.7,79,25,139.9
0,John Beck,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2003,Brigham Young,MWC,FR,QB,8,73,145,50.3,864,6.0,5.1,5,5,104.9
2,2004,Brigham Young,MWC,SO,QB,11,192,343,56.0,2563,7.5,7.3,15,8,128.5
3,*2005,Brigham Young,MWC,JR,QB,12,331,513,64.5,3709,7.2,7.1,27,13,137.6
4,*2006,Brigham Young,MWC,SR,QB,12,289,417,69.3,3885,9.3,10.0,32,8,169.1
5,Career,Brigham Young,,,,,885,1418,62.4,11021,7.8,7.8,79,34,141.3
0,Trent Edwards,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2003,Stanford,Pac-10,FR,QB,8,77,170,45.3,750,4.4,2.5,4,9,79.5
2,2004,Stanford,Pac-10,SO,QB,9,148,271,54.6,1718,6.3,5.2,9,11,110.7
3,2005,Stanford,Pac-10,SR,QB,11,168,268,62.7,1934,7.2,7.3,17,7,139.0
4,2006,Stanford,Pac-10,SR,QB,7,94,156,60.3,1027,6.6,5.6,6,6,120.6
5,Career,Stanford,,,,,487,865,56.3,5429,6.3,5.4,36,33,115.1
0,Kevin Kolb,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2003,Houston,CUSA,,QB,13,220,360,61.1,3131,8.7,9.3,25,6,153.8
2,2004,Houston,CUSA,SO,QB,11,198,353,56.1,2766,7.8,7.7,11,6,128.8
3,*2005,Houston,CUSA,JR,QB,12,254,420,60.5,3258,7.8,7.1,19,15,133.4
4,*2006,Houston,CUSA,SR,QB,14,292,432,67.6,3809,8.8,9.8,30,4,162.7
5,Career,Houston,,,,,964,1565,61.6,12964,8.3,8.5,85,31,145.1
0,Jordan Palmer,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2003,UTEP,WAC,FR,QB,10,98,198,49.5,1168,5.9,3.7,7,13,97.6
2,*2004,UTEP,WAC,SO,QB,12,213,366,58.2,2818,7.7,6.9,26,18,136.5
3,*2005,UTEP,CUSA,JR,QB,12,258,434,59.4,3503,8.1,7.4,29,19,140.5
4,2006,UTEP,CUSA,SR,QB,12,282,429,65.7,3595,8.4,8.1,26,14,149.6
5,Career,UTEP,,,,,851,1427,59.6,11084,7.8,7.0,88,64,136.3
0,Brady Quinn,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2003,Notre Dame,Ind,FR,QB,12,157,332,47.3,1831,5.5,4.0,9,15,93.5
2,*2004,Notre Dame,Ind,SO,QB,12,191,353,54.1,2586,7.3,7.0,17,10,125.9
3,*2005,Notre Dame,Ind,JR,QB,12,292,450,64.9,3919,8.7,9.4,32,7,158.4
4,*2006,Notre Dame,Ind,SR,QB,13,289,467,61.9,3426,7.3,8.2,37,7,146.7
5,Career,Notre Dame,,,,,929,1602,58.0,11762,7.3,7.4,95,39,134.4
0,Jeff Rowe,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2002,Nevada,WAC,FR,QB,6,17,26,65.4,138,5.3,6.1,1,0,122.7
2,2003,Nevada,WAC,SO,QB,3,22,47,46.8,259,5.5,3.1,1,3,87.4
3,2004,Nevada,WAC,JR,QB,12,230,394,58.4,2633,6.7,6.1,15,12,121.0
4,*2005,Nevada,WAC,SR,QB,12,241,389,62.0,2925,7.5,7.4,21,10,137.8
5,*2006,Nevada,WAC,SR,QB,12,172,266,64.7,1907,7.2,7.1,17,8,140.0
6,Career,Nevada,,,,,682,1122,60.8,7862,7.0,6.7,55,33,129.9
0,JaMarcus Russell,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2004,LSU,SEC,SO,QB,11,73,144,50.7,1053,7.3,7.3,9,4,127.2
2,*2005,LSU,SEC,JR,QB,12,188,311,60.5,2443,7.9,7.5,15,9,136.6
3,*2006,LSU,SEC,JR,QB,13,232,342,67.8,3129,9.1,9.7,28,8,167.0
4,Career,LSU,,,,,493,797,61.9,6625,8.3,8.4,52,21,147.9
0,Troy Smith,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2003,Ohio State,Big Ten,SO,QB,11,,,,,,,,,
2,*2004,Ohio State,Big Ten,JR,QB,8,68,122,55.7,896,7.3,7.5,8,3,134.2
3,*2005,Ohio State,Big Ten,SR,QB,11,149,237,62.9,2282,9.6,10.2,16,4,162.7
4,*2006,Ohio State,Big Ten,SR,QB,13,203,311,65.3,2542,8.2,9.2,30,6,161.9
5,Career,Ohio State,,,,,420,670,62.7,5720,8.5,9.3,54,13,157.1
0,Isaiah Stanback,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2003,Washington,Pac-10,FR,WR,11,2,2,100.0,18,9.0,9.0,0,0,175.6
2,2004,Washington,Pac-10,SO,QB,6,23,68,33.8,389,5.7,4.6,3,3,87.6
3,2005,Washington,Pac-10,JR,QB,11,143,264,54.2,2136,8.1,7.8,9,6,128.8
4,2006,Washington,Pac-10,SR,QB,8,101,189,53.4,1325,7.0,7.4,10,3,126.6
5,Career,Washington,,,,,269,523,51.4,3868,7.4,7.2,22,12,122.9
0,Drew Stanton,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2003,Michigan State,Big Ten,SO,QB,13,2,3,66.7,39,13.0,13.0,0,0,175.9
2,2004,Michigan State,Big Ten,JR,QB,10,141,220,64.1,1601,7.3,6.8,8,6,131.8
3,2005,Michigan State,Big Ten,JR,QB,11,236,354,66.7,3077,8.7,8.4,22,12,153.4
4,2006,Michigan State,Big Ten,SR,QB,11,164,269,61.0,1807,6.7,5.9,12,10,124.7
5,Career,Michigan State,,,,,543,846,64.2,6524,7.7,7.2,42,28,138.7
0,Kellen Clemens,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2002,Oregon,Pac-10,FR,QB,5,23,40,57.5,201,5.0,4.9,2,1,111.2
2,*2003,Oregon,Pac-10,SO,QB,13,182,304,59.9,2400,7.9,7.7,18,9,139.8
3,2004,Oregon,Pac-10,JR,QB,11,223,372,59.9,2548,6.8,6.8,22,10,131.6
4,*2005,Oregon,Pac-10,SR,QB,8,185,289,64.0,2406,8.3,9.0,19,4,152.9
5,Career,Oregon,,,,,613,1005,61.0,7555,7.5,7.7,61,24,139.4
0,Brodie Croyle,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2002,Alabama,SEC,SO,QB,12,60,123,48.8,1046,8.5,7.5,5,5,125.5
2,2003,Alabama,SEC,JR,QB,12,182,341,53.4,2303,6.8,6.0,16,13,118.0
3,*2004,Alabama,SEC,JR,QB,3,44,66,66.7,534,8.1,9.9,6,0,164.6
4,*2005,Alabama,SEC,SR,QB,12,202,339,59.6,2499,7.4,7.7,14,4,132.8
5,Career,Alabama,,,,,488,869,56.2,6382,7.3,7.1,41,22,128.4
0,Jay Cutler,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2002,Vanderbilt,SEC,FR,QB,11,103,212,48.6,1433,6.8,5.8,10,9,112.4
2,2003,Vanderbilt,SEC,SO,QB,12,187,327,57.2,2347,7.2,6.5,18,13,127.7
3,2004,Vanderbilt,SEC,JR,QB,11,147,241,61.0,1844,7.7,7.5,10,5,134.8
4,2005,Vanderbilt,SEC,SR,QB,11,273,462,59.1,3073,6.7,6.7,21,9,126.1
5,Career,Vanderbilt,,,,,710,1242,57.2,8697,7.0,6.6,59,36,125.9
0,Bruce Gradkowski,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2002,Toledo,MAC,FR,QB,13,2,3,66.7,28,9.3,9.3,0,0,145.1
2,2003,Toledo,MAC,SO,QB,12,277,389,71.2,3210,8.3,8.9,29,7,161.5
3,*2004,Toledo,MAC,JR,QB,13,280,399,70.2,3518,8.8,9.3,27,8,162.6
4,*2005,Toledo,MAC,SR,QB,11,207,332,62.3,2469,7.4,7.6,29,12,146.4
5,Career,Toledo,,,,,766,1123,68.2,9225,8.2,8.6,85,27,157.4
0,Tarvaris Jackson,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2001,Arkansas,SEC,,QB,3,3,9,33.3,53,5.9,0.9,0,1,60.6
2,*2002,Arkansas,SEC,FR,QB,8,14,39,35.9,143,3.7,1.9,1,2,64.9
3,Career,Arkansas,,,,,17,48,35.4,196,4.1,1.7,1,3,64.1
0,Matt Leinart,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2003,USC,Pac-10,SO,QB,13,255,402,63.4,3556,8.8,9.7,38,9,164.5
2,*2004,USC,Pac-10,JR,QB,13,269,412,65.3,3322,8.1,9.0,33,6,156.5
3,*2005,USC,Pac-10,SR,QB,13,283,431,65.7,3815,8.9,9.3,28,8,157.7
4,Career,USC,,,,,807,1245,64.8,10693,8.6,9.3,99,23,159.5
0,Reggie McNeal,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2002,Texas A&M,Big 12,FR,QB,8,24,45,53.3,456,10.1,9.8,6,3,169.1
2,2003,Texas A&M,Big 12,SO,QB,12,113,221,51.1,1782,8.1,7.4,8,7,124.5
3,*2004,Texas A&M,Big 12,JR,QB,12,200,344,58.1,2791,8.1,8.4,14,4,137.4
4,2005,Texas A&M,Big 12,SR,QB,10,141,265,53.2,1963,7.4,7.1,16,9,128.6
5,Career,Texas A&M,,,,,478,875,54.6,6992,8.0,7.8,44,23,133.1
0,Charlie Whitehurst,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2002,Clemson,ACC,FR,QB,9,123,214,57.5,1554,7.3,6.9,10,6,128.3
2,*2003,Clemson,ACC,SO,QB,13,288,465,61.9,3561,7.7,7.3,21,13,135.6
3,2004,Clemson,ACC,JR,QB,11,177,349,50.7,2067,5.9,4.1,7,17,97.3
4,*2005,Clemson,ACC,SR,QB,11,229,340,67.4,2483,7.3,6.6,11,10,133.5
5,Career,Clemson,,,,,817,1368,59.7,9665,7.1,6.3,49,46,124.2
0,Vince Young,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2003,Texas,Big 12,FR,QB,12,84,143,58.7,1155,8.1,6.7,6,7,130.6
2,*2004,Texas,Big 12,SO,QB,12,148,250,59.2,1849,7.4,6.4,12,11,128.4
3,*2005,Texas,Big 12,JR,QB,13,212,325,65.2,3036,9.3,9.6,26,10,163.9
4,Career,Texas,,,,,444,718,61.8,6040,8.4,7.9,44,28,144.9
0,Derek Anderson,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2001,Oregon State,Pac-10,FR,QB,11,17,41,41.5,263,6.4,3.6,1,3,88.8
2,*2002,Oregon State,Pac-10,SO,QB,13,211,449,47.0,3313,7.4,7.2,25,13,121.6
3,*2003,Oregon State,Pac-10,JR,QB,13,261,510,51.2,4058,8.0,6.8,24,24,124.1
4,*2004,Oregon State,Pac-10,SR,QB,12,279,515,54.2,3615,7.0,6.7,29,17,125.1
5,Career,Oregon State,,,,,768,1515,50.7,11249,7.4,6.8,79,57,122.7
0,Jason Campbell,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2001,Auburn,SEC,FR,QB,9,89,142,62.7,1117,7.9,7.2,4,4,132.4
2,*2002,Auburn,SEC,SO,QB,13,94,149,63.1,1215,8.2,8.1,11,5,149.2
3,*2003,Auburn,SEC,JR,QB,13,181,293,61.8,2267,7.7,7.2,10,8,132.6
4,*2004,Auburn,SEC,SR,QB,13,188,270,69.6,2700,10.0,10.3,20,7,172.9
5,Career,Auburn,,,,,552,854,64.6,7299,8.5,8.3,45,24,148.2
0,Charlie Frye,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2001,Akron,MAC,FR,QB,11,170,289,58.8,2053,7.1,6.8,9,6,124.6
2,2002,Akron,MAC,SO,QB,12,250,380,65.8,2824,7.4,7.2,15,9,136.5
3,2003,Akron,MAC,JR,QB,12,273,421,64.8,3549,8.4,8.5,22,9,148.6
4,2004,Akron,MAC,SR,QB,11,220,346,63.6,2623,7.6,7.6,18,8,139.8
5,Career,Akron,,,,,913,1436,63.6,11049,7.7,7.6,64,32,138.5
0,Dan Orlovsky,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2001,Connecticut,Ind,,QB,10,128,269,47.6,1379,5.1,4.0,9,11,93.5
2,2002,Connecticut,Ind,SO,QB,12,221,366,60.4,2488,6.8,6.5,19,11,128.6
3,2003,Connecticut,Ind,JR,QB,12,279,475,58.7,3485,7.3,7.4,33,14,137.4
4,*2004,Connecticut,Big East,SR,QB,12,288,457,63.0,3354,7.3,6.9,23,15,134.7
5,Career,Connecticut,,,,,916,1567,58.5,10706,6.8,6.4,84,51,127.0
0,Kyle Orton,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2001,Purdue,Big Ten,FR,QB,7,107,216,49.5,1105,5.1,4.0,4,7,92.1
2,*2002,Purdue,Big Ten,SO,QB,13,192,317,60.6,2257,7.1,6.7,13,9,128.2
3,*2003,Purdue,Big Ten,JR,QB,13,251,414,60.6,2885,7.0,6.9,15,7,127.7
4,*2004,Purdue,Big Ten,SR,QB,11,236,389,60.7,3090,7.9,9.0,31,5,151.1
5,Career,Purdue,,,,,786,1336,58.8,9337,7.0,7.0,63,28,128.9
0,Aaron Rodgers,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2003,California,Pac-10,SO,QB,13,215,349,61.6,2903,8.3,8.8,19,5,146.6
2,*2004,California,Pac-10,JR,QB,12,209,316,66.1,2566,8.1,8.5,24,8,154.3
3,Career,California,,,,,424,665,63.8,5469,8.2,8.6,43,13,150.3
0,Alex Smith,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2002,Utah,MWC,FR,QB,2,2,4,50.0,4,1.0,-10.3,0,1,8.4
2,*2003,Utah,MWC,SO,QB,11,173,266,65.0,2247,8.4,9.1,15,3,152.3
3,*2004,Utah,MWC,JR,QB,12,214,317,67.5,2952,9.3,10.8,32,4,176.5
4,Career,Utah,,,,,389,587,66.3,5203,8.9,9.9,47,8,164.4
0,Andrew Walter,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2001,Arizona State,Pac-10,FR,QB,11,38,86,44.2,546,6.3,6.0,3,2,104.4
2,*2002,Arizona State,Pac-10,SO,QB,14,274,483,56.7,3877,8.0,7.8,28,15,137.1
3,2003,Arizona State,Pac-10,JR,QB,12,221,421,52.5,3044,7.2,7.3,24,10,127.3
4,*2004,Arizona State,Pac-10,SR,QB,11,244,426,57.3,3150,7.4,7.9,30,9,138.4
5,Career,Arizona State,,,,,777,1416,54.9,10617,7.5,7.6,85,36,132.6
0,Craig Krenzel,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2000,Ohio State,Big Ten,FR,QB,6,5,9,55.6,57,6.3,1.3,0,1,86.5
2,2001,Ohio State,Big Ten,SO,QB,2,22,41,53.7,282,6.9,4.1,1,3,104.8
3,*2002,Ohio State,Big Ten,SR,QB,14,148,249,59.4,2110,8.5,8.2,12,7,140.9
4,*2003,Ohio State,Big Ten,SR,QB,11,153,278,55.0,2040,7.3,6.8,15,10,127.3
