,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Passing,Passing.1,Passing.2,Passing.3,Passing.4,Passing.5,Passing.6,Passing.7,Passing.8
1,2013,California,Pac-12,FR,QB,12,320,530,60.4,3508,6.6,6.4,18,10,123.4
2,2014,California,Pac-12,SO,QB,12,316,509,62.1,3973,7.8,8.6,35,7,147.6
3,*2015,California,Pac-12,JR,QB,13,341,529,64.5,4714,8.9,9.4,43,13,161.2
4,Career,California,,,,,977,1568,62.3,12195,7.8,8.1,96,30,144.0
0,Christian Hackenberg,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2013,Penn State,Big Ten,FR,QB,12,231,392,58.9,2955,7.5,7.4,20,10,134.0
2,*2014,Penn State,Big Ten,SO,QB,13,270,484,55.8,2977,6.2,5.3,12,15,109.4
3,*2015,Penn State,Big Ten,JR,QB,13,192,359,53.5,2525,7.0,7.2,16,6,123.9
4,Career,Penn State,,,,,693,1235,56.1,8457,6.8,6.5,48,31,121.4
0,Kevin Hogan,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2012,Stanford,Pac-12,FR,QB,10,109,152,71.7,1096,7.2,7.5,9,3,147.9
2,*2013,Stanford,Pac-12,SO,QB,14,180,295,61.0,2630,8.9,8.7,20,10,151.5
3,*2014,Stanford,Pac-12,JR,QB,13,232,352,65.9,2792,7.9,8.0,19,8,145.8
4,*2015,Stanford,Pac-12,SR,QB,14,206,304,67.8,2867,9.4,10.0,27,8,171.0
5,Career,Stanford,,,,,727,1103,65.9,9385,8.5,8.7,75,29,154.6
0,Cardale Jones,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2013,Ohio State,Big Ten,FR,QB,3,1,2,50.0,3,1.5,1.5,0,0,62.6
2,*2014,Ohio State,Big Ten,SO,QB,10,56,92,60.9,860,9.3,9.9,7,2,160.2
3,*2015,Ohio State,Big Ten,JR,QB,10,109,175,62.3,1459,8.3,8.0,8,5,141.7
4,Career,Ohio State,,,,,166,269,61.7,2322,8.6,8.6,15,7,147.4
0,Cody Kessler,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2012,USC,Pac-12,FR,QB,10,2,2,100.0,9,4.5,4.5,0,0,137.8
2,*2013,USC,Pac-12,SO,QB,14,236,361,65.4,2968,8.2,8.5,20,7,148.8
3,*2014,USC,Pac-12,JR,QB,13,315,452,69.7,3826,8.5,9.7,39,5,167.1
4,*2015,USC,Pac-12,SR,QB,14,298,446,66.8,3536,7.9,8.5,29,7,151.7
5,Career,USC,,,,,851,1261,67.5,10339,8.2,8.9,88,19,156.4
0,Paxton Lynch,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2013,Memphis,American,FR,QB,12,203,349,58.2,2056,5.9,5.1,9,10,110.4
2,*2014,Memphis,American,SO,QB,13,259,413,62.7,3031,7.3,7.4,22,9,137.6
3,*2015,Memphis,American,JR,QB,13,296,443,66.8,3776,8.5,9.4,28,4,157.5
4,Career,Memphis,,,,,758,1205,62.9,8863,7.4,7.5,59,23,137.0
0,Dak Prescott,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2012,Mississippi State,SEC,FR,QB,12,18,29,62.1,194,6.7,9.4,4,0,163.8
2,*2013,Mississippi State,SEC,FR,QB,11,156,267,58.4,1940,7.3,6.8,10,7,126.6
3,*2014,Mississippi State,SEC,JR,QB,13,244,396,61.6,3449,8.7,8.8,27,11,151.7
4,*2015,Mississippi State,SEC,SR,QB,13,316,477,66.2,3793,8.0,8.7,29,5,151.0
5,Career,Mississippi State,,,,,734,1169,62.8,9376,8.0,8.3,70,23,146.0
0,Nate Sudfeld,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2012,Indiana,Big Ten,FR,QB,7,51,82,62.2,632,7.7,8.9,7,1,152.7
2,2013,Indiana,Big Ten,SO,QB,12,194,322,60.2,2523,7.8,7.9,21,9,142.0
3,2014,Indiana,Big Ten,JR,QB,7,101,167,60.5,1151,6.9,6.8,6,3,126.6
4,*2015,Indiana,Big Ten,SR,QB,12,247,412,60.0,3573,8.7,9.2,27,7,151.0
5,Career,Indiana,,,,,593,983,60.3,7879,8.0,8.3,61,20,144.1
0,Garrett Grayson,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2011,Colorado State,MWC,FR,QB,4,43,77,55.8,542,7.0,4.1,2,6,108.0
2,2012,Colorado State,MWC,SO,QB,6,78,138,56.5,946,6.9,6.9,7,3,126.5
3,*2013,Colorado State,MWC,JR,QB,14,297,478,62.1,3696,7.7,7.7,23,11,138.4
4,*2014,Colorado State,MWC,SR,QB,13,270,420,64.3,4006,9.5,10.3,32,7,166.2
5,Career,Colorado State,,,,,688,1113,61.8,9190,8.3,8.3,64,27,145.3
0,Sean Mannion,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2011,Oregon State,Pac-12,FR,QB,12,305,473,64.5,3328,7.0,6.0,16,18,127.1
2,*2012,Oregon State,Pac-12,SO,QB,10,200,309,64.7,2446,7.9,7.0,15,13,138.8
3,*2013,Oregon State,Pac-12,JR,QB,13,400,603,66.3,4662,7.7,7.8,37,15,146.6
4,2014,Oregon State,Pac-12,SR,QB,12,282,453,62.3,3164,7.0,6.9,15,8,128.3
5,Career,Oregon State,,,,,1187,1838,64.6,13600,7.4,7.0,83,54,135.8
0,Marcus Mariota,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2012,Oregon,Pac-12,FR,QB,13,230,336,68.5,2677,8.0,9.1,32,6,163.2
2,*2013,Oregon,Pac-12,SO,QB,13,245,386,63.5,3665,9.5,10.6,31,4,167.7
3,*2014,Oregon,Pac-12,JR,QB,15,304,445,68.3,4454,10.0,11.5,42,4,181.7
4,Career,Oregon,,,,,779,1167,66.8,10796,9.3,10.5,105,14,171.8
0,Bryce Petty,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2011,Baylor,Big 12,FR,QB,6,3,4,75.0,43,10.8,10.8,0,0,165.3
2,*2012,Baylor,Big 12,SO,QB,6,7,10,70.0,97,9.7,11.7,1,0,184.5
3,*2013,Baylor,Big 12,JR,QB,13,250,403,62.0,4200,10.4,11.7,32,3,174.3
4,*2014,Baylor,Big 12,SR,QB,12,270,428,63.1,3855,9.0,9.6,29,7,157.8
5,Career,Baylor,,,,,530,845,62.7,8195,9.7,10.6,62,10,166.0
0,Jameis Winston,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2013,Florida State,ACC,FR,QB,14,257,384,66.9,4057,10.6,11.5,40,10,184.8
2,*2014,Florida State,ACC,SO,QB,13,305,467,65.3,3907,8.4,7.7,25,18,145.5
3,Career,Florida State,,,,,562,851,66.0,7964,9.4,9.4,65,28,163.3
0,Blake Bortles,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,2011,UCF,CUSA,FR,QB,10,75,110,68.2,958,8.7,8.6,6,3,153.9
2,*2012,UCF,CUSA,SO,QB,14,251,399,62.9,3059,7.7,8.1,25,7,144.5
3,*2013,UCF,American,JR,QB,13,259,382,67.8,3581,9.4,9.6,25,9,163.4
4,Career,UCF,,,,,585,891,65.7,7598,8.5,8.8,56,19,153.8
0,Teddy Bridgewater,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2011,Louisville,Big East,FR,QB,13,191,296,64.5,2129,7.2,6.3,14,12,132.4
2,*2012,Louisville,Big East,SO,QB,13,287,419,68.5,3718,8.9,9.3,27,8,160.5
3,*2013,Louisville,American,JR,QB,13,303,427,71.0,3970,9.3,10.3,31,4,171.1
4,Career,Louisville,,,,,781,1142,68.4,9817,8.6,8.9,72,24,157.2
